From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is_Laundering
8997,8039B3D80,11016,80465CC60,4748.33,Yuan,4748.33,Yuan,Cash,0
29779,8039A93D0,9096,8039A9330,5372.75,Yuan,5372.75,Yuan,ACH,0
29844,8039A9560,9096,8039A9330,12624.44,Yuan,12624.44,Yuan,ACH,0
28335,8039A9600,9096,8039A9330,11731.26,Yuan,11731.26,Yuan,ACH,0
29867,8046FF160,9096,8039A9330,28912.57,Yuan,28912.57,Yuan,ACH,0
19104,8039A9510,9096,8039A9330,16412.37,Yuan,16412.37,Yuan,ACH,0
12066,8046FEF80,9096,8039A9330,8211.28,Yuan,8211.28,Yuan,ACH,0
110164,8046FF110,9096,8039A9330,30159.05,Yuan,30159.05,Yuan,ACH,0
29844,80443F660,692,8046F9800,24279.06,Yuan,24279.06,Yuan,Cheque,0
17213,80395C380,5923,804745040,10767.41,Yuan,10767.41,Yuan,Cheque,0
19521,803A762C0,9530,80479C080,8801.64,Yuan,8801.64,Yuan,Cheque,0
19521,803A762C0,9530,80479C080,4612.8,Yuan,4612.8,Yuan,Credit Card,0
26922,80482D230,211564,80482C1C0,27919.5,Yuan,27919.5,Yuan,ACH,0
11587,80482D280,211564,80482C1C0,10324.18,Yuan,10324.18,Yuan,ACH,0
110400,80482C260,211564,80482C1C0,19307.5,Yuan,19307.5,Yuan,ACH,0
12,8037250C0,110164,8048BAB10,1140.31,Yuan,1140.31,Yuan,Cheque,0
12,8037250C0,110164,8048BAB10,8502.63,Yuan,8502.63,Yuan,Credit Card,0
12,8037250C0,110164,8048BAB10,1970.63,Yuan,1970.63,Yuan,ACH,0
19521,803A73540,12,8048DDF70,5445.9,Yuan,5445.9,Yuan,Cheque,0
19521,803A73540,12,8048DDF70,558.99,Yuan,558.99,Yuan,Cash,0
7082,80290A460,9735,80491B710,473.08,Yuan,473.08,Yuan,Cheque,0
7082,80290A460,9735,80491B710,135.83,Yuan,135.83,Yuan,Credit Card,0
5893,803C2D6D0,10311,804920ED0,52098.82,Yuan,52098.82,Yuan,Cheque,0
5893,803C2D6D0,10311,804920ED0,4823.84,Yuan,4823.84,Yuan,Cash,0
12,802C22B80,10154,804967660,32804.72,Yuan,32804.72,Yuan,Cheque,0
12,802C22B80,10154,804967660,39820.62,Yuan,39820.62,Yuan,Credit Card,0
15885,8028D3F70,110593,80498B8C0,11576.44,Yuan,11576.44,Yuan,Cheque,0
15885,8028D3F70,110593,80498B8C0,282.95,Yuan,282.95,Yuan,Cash,0
15885,8028D3F70,110593,80498B8C0,213.82,Yuan,213.82,Yuan,ACH,0
11,803E6A300,7080,804995D20,18872.59,Yuan,18872.59,Yuan,Cheque,0
11,803E6A300,7080,804995D20,14380.78,Yuan,14380.78,Yuan,Credit Card,0
5893,803554BB0,27356,804997360,6515.84,Yuan,6515.84,Yuan,Cheque,0
5893,803554BB0,27356,804997360,8791.99,Yuan,8791.99,Yuan,ACH,0
211860,80468D110,15885,8049BDA40,648.36,Yuan,648.36,Yuan,Cheque,0
211860,80468D110,15885,8049BDA40,284.95,Yuan,284.95,Yuan,Credit Card,0
8997,80393E590,11,8049E06F0,2859.71,Yuan,2859.71,Yuan,Credit Card,0
8997,80393E590,11,8049E06F0,15233.99,Yuan,15233.99,Yuan,Cash,0
5923,802371FE0,210858,804A0B360,4429.27,Yuan,4429.27,Yuan,Cheque,0
5923,802371FE0,210858,804A0B360,7151.29,Yuan,7151.29,Yuan,Cash,0
19970,8042DCCA0,17213,804A13770,4557.43,Yuan,4557.43,Yuan,Cheque,0
19970,8042DCCA0,17213,804A13770,1266.5,Yuan,1266.5,Yuan,Credit Card,0
692,8029A3480,19970,804A169A0,1050.32,Yuan,1050.32,Yuan,Cheque,0
692,8029A3480,19970,804A169A0,681.67,Yuan,681.67,Yuan,Credit Card,0
26,8048F62C0,110299,804A300B0,34755.59,Yuan,34755.59,Yuan,Cheque,0
29779,804B33C50,10154,804B33FB0,15423.8,Yuan,15423.8,Yuan,ACH,0
29844,804B34000,10154,804B33FB0,12712.82,Yuan,12712.82,Yuan,ACH,0
19104,804B339D0,10154,804B33FB0,3540.02,Yuan,3540.02,Yuan,ACH,0
27,80006E4F0,19970,804B7E670,524.87,Yuan,524.87,Yuan,Cheque,0
27,80006E4F0,19970,804B7E670,862.88,Yuan,862.88,Yuan,Wire,0
210796,804402080,212642,804BB2190,3377.85,Yuan,3377.85,Yuan,Cheque,0
210796,804402080,212642,804BB2190,8654.45,Yuan,8654.45,Yuan,Credit Card,0
7082,8033D5560,112646,804BB66E0,3929.69,Yuan,3929.69,Yuan,Cheque,0
7082,8033D5560,112646,804BB66E0,1638.58,Yuan,1638.58,Yuan,Cash,0
7082,8033D5560,112646,804BB66E0,140.61,Yuan,140.61,Yuan,ACH,0
7082,8033D5560,112646,804BB66E0,75.92,Yuan,75.92,Yuan,Wire,0
10311,8046B8F00,110299,804BB2800,7721.56,Yuan,7721.56,Yuan,Cheque,0
10311,8046B8F00,110299,804BB2800,1016.61,Yuan,1016.61,Yuan,Credit Card,0
19931,804BCDDD0,17768,804BCDE20,259401.98,Yuan,259401.98,Yuan,ACH,0
19521,804BCDEC0,17768,804BCDE20,113000.57,Yuan,113000.57,Yuan,Cheque,0
12,801F1BE60,11587,804C270A0,2721.39,Yuan,2721.39,Yuan,Cheque,0
12,801F1BE60,11587,804C270A0,1361.43,Yuan,1361.43,Yuan,Credit Card,0
26,803412CB0,110593,804C406B0,7595.67,Yuan,7595.67,Yuan,Cheque,0
21393,8019E68E0,21393,8019E68E0,9147.11,Yuan,1365.73,US Dollar,ACH,0
21393,8019E68E0,15,804DAA330,9147.11,Yuan,9147.11,Yuan,Cheque,0
21393,8019E68E0,21393,8019E68E0,8881.7,Yuan,1326.1,US Dollar,ACH,0
21393,8019E68E0,15,804DAA330,8881.7,Yuan,8881.7,Yuan,Cash,0
21393,8019E68E0,21393,8019E68E0,7083.54,Yuan,1057.62,US Dollar,ACH,0
21393,8019E68E0,15,804DAA330,7083.54,Yuan,7083.54,Yuan,ACH,0
21393,8019E68E0,21393,8019E68E0,5153.18,Yuan,769.41,US Dollar,ACH,0
21393,8019E68E0,15,804DAA330,5153.18,Yuan,5153.18,Yuan,Wire,0
70,10042B6F0,110593,804DD9F70,1544.11,Yuan,1544.11,Yuan,Cheque,0
70,10042B6F0,110593,804DD9F70,5033.62,Yuan,5033.62,Yuan,Cash,0
28335,804460110,11,804DEEE20,2167.68,Yuan,2167.68,Yuan,Cheque,0
26,803ACAC20,11587,804E24310,90488.93,Yuan,90488.93,Yuan,Cheque,0
15168,804746C90,211524,804E7A200,1385617.56,Yuan,1385617.56,Yuan,Cheque,0
15168,804746C90,211524,804E7A200,175224.93,Yuan,175224.93,Yuan,Credit Card,0
15168,804746C90,211524,804E7A200,2786649.15,Yuan,2786649.15,Yuan,Cash,0
3718,804E3CD60,3718,804E3CD60,371.05,Yuan,55.4,US Dollar,ACH,0
3718,804E3CD60,8997,804EA6490,371.05,Yuan,371.05,Yuan,Cheque,0
3718,804E3CD60,3718,804E3CD60,537.16,Yuan,80.2,US Dollar,ACH,0
3718,804E3CD60,8997,804EA6490,537.16,Yuan,537.16,Yuan,Credit Card,0
212633,804E17AA0,19931,804EB4480,1020285.35,Yuan,1020285.35,Yuan,Cheque,0
212633,804E17AA0,19931,804EB4480,94225.04,Yuan,94225.04,Yuan,Credit Card,0
212633,804E17AA0,19931,804EB4480,7664654.3,Yuan,7664654.3,Yuan,ACH,0
110400,804A1B5B0,15168,804ED5B60,6244.51,Yuan,6244.51,Yuan,Cheque,0
110400,804A1B5B0,15168,804ED5B60,843.05,Yuan,843.05,Yuan,Credit Card,0
110400,804A1B5B0,15168,804ED5B60,657.08,Yuan,657.08,Yuan,Cash,0
110400,804A1B5B0,15168,804ED5B60,29.74,Yuan,29.74,Yuan,Wire,0
110682,804D9CB20,212633,804EFFCE0,30298.71,Yuan,30298.71,Yuan,Cheque,0
110682,804D9CB20,212633,804EFFCE0,44900.36,Yuan,44900.36,Yuan,Credit Card,0
12868,804F0E4B0,110299,804F0BCB0,30988.0,Yuan,30988.0,Yuan,ACH,0
12469,804F0EB10,110299,804F0BCB0,33379.12,Yuan,33379.12,Yuan,ACH,0
692,804F0C0F0,110299,804F0BCB0,22833.69,Yuan,22833.69,Yuan,ACH,0
210796,804F0E460,110299,804F0BCB0,8634.63,Yuan,8634.63,Yuan,ACH,0
9976,803D2DF10,19970,804F05120,94911.66,Yuan,94911.66,Yuan,Cheque,0
9976,803D2DF10,19970,804F05120,126621.79,Yuan,126621.79,Yuan,Credit Card,0
70,10042B6F0,10311,804F2C690,47384.5,Yuan,47384.5,Yuan,Cheque,0
70,10042B6F0,10311,804F2C690,75074.66,Yuan,75074.66,Yuan,Cash,0
9976,8042AF740,9096,804F472E0,8516.43,Yuan,8516.43,Yuan,Cheque,0
8488,80333DB00,8488,80333DB00,567346.65,Yuan,84708.95,US Dollar,ACH,0
8488,80333DB00,112685,804FD6770,567346.65,Yuan,567346.65,Yuan,Cheque,0
110134,80498CAB0,28335,8050BB6E0,172091.79,Yuan,172091.79,Yuan,Cash,0
9534,80399B720,12066,8050D7FA0,985.88,Yuan,985.88,Yuan,Cheque,0
9534,80399B720,12066,8050D7FA0,2006.59,Yuan,2006.59,Yuan,Credit Card,0
12204,8043DF5F0,12204,8043DF5F0,11990.44,Yuan,1790.26,US Dollar,ACH,0
12204,8043DF5F0,8997,805148670,11990.44,Yuan,11990.44,Yuan,Cheque,0
15,800F905C0,212840,80521F150,2261.04,Yuan,2261.04,Yuan,Cheque,0
15,800F905C0,212840,80521F150,4022.29,Yuan,4022.29,Yuan,Credit Card,0
15,800F905C0,212840,80521F150,4305.34,Yuan,4305.34,Yuan,Cash,0
15,800F905C0,212840,80521F150,411.65,Yuan,411.65,Yuan,ACH,0
112827,80517E000,110265,8052356E0,985.44,Yuan,985.44,Yuan,Cheque,0
112827,80517E000,110265,8052356E0,359.88,Yuan,359.88,Yuan,Credit Card,0
112685,804EBE430,113579,8051D2BC0,145927.19,Yuan,145927.19,Yuan,Cheque,0
112685,804EBE430,113579,8051D2BC0,78701.01,Yuan,78701.01,Yuan,Credit Card,0
112685,804EBE430,113579,8051D2BC0,103899.02,Yuan,103899.02,Yuan,ACH,0
9534,803AE35B0,15,8052931A0,214.26,Yuan,214.26,Yuan,Cheque,0
9534,803AE35B0,15,8052931A0,795.43,Yuan,795.43,Yuan,Credit Card,0
11770,8023F3F50,11770,8023F3F50,2507.74,Yuan,374.42,US Dollar,ACH,0
11770,8023F3F50,110198,80529AA90,2507.74,Yuan,2507.74,Yuan,Credit Card,0
11770,8023F3F50,11770,8023F3F50,13010.81,Yuan,1942.61,US Dollar,ACH,0
11770,8023F3F50,110198,80529AA90,13010.81,Yuan,13010.81,Yuan,Cash,0
10154,804B66130,112857,8052CE180,2151.31,Yuan,2151.31,Yuan,Cheque,0
10154,804B66130,112857,8052CE180,3598.87,Yuan,3598.87,Yuan,Credit Card,0
26,8021B8750,110080,8052CDF90,4989.18,Yuan,4989.18,Yuan,Cheque,0
26,8021B8750,110080,8052CDF90,2576.42,Yuan,2576.42,Yuan,Credit Card,0
70,10042B6F0,110164,8052E26C0,1475.75,Yuan,1475.75,Yuan,Cheque,0
70,10042B6F0,110164,8052E26C0,276.5,Yuan,276.5,Yuan,Credit Card,0
692,8036F6CE0,13917,805309B70,1124.18,Yuan,1124.18,Yuan,Cheque,0
692,8036F6CE0,13917,805309B70,1657.67,Yuan,1657.67,Yuan,Credit Card,0
12,8021B1480,112685,805317460,931302.96,Yuan,931302.96,Yuan,Cheque,0
12,8021B1480,112685,805317460,92240.53,Yuan,92240.53,Yuan,Credit Card,0
12,8021B1480,112685,805317460,475209.14,Yuan,475209.14,Yuan,Cash,0
12,8021B1480,112685,805317460,205337.58,Yuan,205337.58,Yuan,Wire,0
211860,80468D110,27425,805345BE0,261106.23,Yuan,261106.23,Yuan,Cheque,0
211860,80468D110,27425,805345BE0,165284.86,Yuan,165284.86,Yuan,Credit Card,0
110682,804086F20,113394,80536E570,628.36,Yuan,628.36,Yuan,Cheque,0
110682,804086F20,113394,80536E570,669.79,Yuan,669.79,Yuan,ACH,0
111615,8046498E0,113732,8053D3B60,270.06,Yuan,270.06,Yuan,Cheque,0
111615,8046498E0,113732,8053D3B60,1460.57,Yuan,1460.57,Yuan,Cash,0
110265,805343C10,213504,8053EDFD0,3744.53,Yuan,3744.53,Yuan,Cheque,0
110265,805343C10,213504,8053EDFD0,2085.93,Yuan,2085.93,Yuan,ACH,0
212655,804B964F0,10073,8053F1690,34651.09,Yuan,34651.09,Yuan,Cheque,0
212655,804B964F0,10073,8053F1690,34894.59,Yuan,34894.59,Yuan,Credit Card,0
15168,8051D8780,110682,805442C70,1035.76,Yuan,1035.76,Yuan,Cheque,0
15168,803D63D60,210091,805454D70,11397.7,Yuan,11397.7,Yuan,Cheque,0
15168,803D63D60,210091,805454D70,8825.39,Yuan,8825.39,Yuan,Credit Card,0
15168,803D63D60,210091,805454D70,2835.5,Yuan,2835.5,Yuan,Cash,0
112827,805464270,12469,80545C870,15970.35,Yuan,15970.35,Yuan,ACH,0
114417,80545C960,12469,80545C870,29642.9,Yuan,29642.9,Yuan,ACH,0
10461,80545C8C0,12469,80545C870,22023.07,Yuan,22023.07,Yuan,ACH,0
9534,8054641D0,12469,80545C870,223315.32,Yuan,223315.32,Yuan,ACH,0
9530,803AFE290,10154,805479ED0,3141.35,Yuan,3141.35,Yuan,Cheque,0
27356,805235640,13577,805485740,598.92,Yuan,598.92,Yuan,Cheque,0
27356,805235640,13577,805485740,189.38,Yuan,189.38,Yuan,Cash,0
27356,805235640,13577,805485740,304.67,Yuan,304.67,Yuan,ACH,0
13271,80518F8E0,19104,805490590,1399.25,Yuan,1399.25,Yuan,Cheque,0
13271,80518F8E0,19104,805490590,1604.5,Yuan,1604.5,Yuan,Credit Card,0
15885,8051FCA80,112711,8054324A0,6400.6,Yuan,6400.6,Yuan,Cheque,0
15885,8051FCA80,112711,8054324A0,3103.46,Yuan,3103.46,Yuan,ACH,0
212633,805966260,12469,805966040,13759.78,Yuan,13759.78,Yuan,ACH,0
110080,803B050A0,13512,806A57510,2209.96,Yuan,2209.96,Yuan,Cheque,0
110080,803B050A0,13512,806A57510,10708.83,Yuan,10708.83,Yuan,Cash,0
12,804A2C420,692,806FDE790,2082.84,Yuan,2082.84,Yuan,Cheque,0
12,804A2C420,692,806FDE790,668.92,Yuan,668.92,Yuan,Credit Card,0
70,10042B6F0,14558,8070B12E0,199.59,Yuan,199.59,Yuan,Cheque,0
70,10042B6F0,14558,8070B12E0,776.81,Yuan,776.81,Yuan,Credit Card,0
29779,807435E40,113394,807D6CBA0,389343.44,Yuan,389343.44,Yuan,Cheque,0
210858,804A67D10,10073,808810070,4856.03,Yuan,4856.03,Yuan,Cheque,0
210858,804A67D10,10073,808810070,1962.98,Yuan,1962.98,Yuan,Credit Card,0
114188,805359980,10154,80971B9F0,1121.43,Yuan,1121.43,Yuan,Cheque,0
114188,805359980,10154,80971B9F0,2323.41,Yuan,2323.41,Yuan,Credit Card,0
13512,806922D20,214728,809B807A0,2615.44,Yuan,2615.44,Yuan,Cheque,0
12,803436960,13577,80A8AAA20,18225.26,Yuan,18225.26,Yuan,Cheque,0
12,803436960,13577,80A8AAA20,11181.09,Yuan,11181.09,Yuan,Credit Card,0
12,803436960,13577,80A8AAA20,1415.74,Yuan,1415.74,Yuan,ACH,0
12,803436960,13577,80A8AAA20,135.85,Yuan,135.85,Yuan,Wire,0
110522,805575130,12066,80A8AB940,2384.41,Yuan,2384.41,Yuan,Cheque,0
5893,803AD8B60,212633,80A8E2AF0,254.6,Yuan,254.6,Yuan,Cheque,0
5893,803AD8B60,212633,80A8E2AF0,1520.11,Yuan,1520.11,Yuan,ACH,0
70,10042B6F0,29900,80A91AEA0,25699.24,Yuan,25699.24,Yuan,Cheque,0
70,10042B6F0,29900,80A91AEA0,736.41,Yuan,736.41,Yuan,Credit Card,0
211524,804914C60,119340,80AAC0200,152.31,Yuan,152.31,Yuan,Cheque,0
211524,804914C60,119340,80AAC0200,1300.26,Yuan,1300.26,Yuan,Credit Card,0
12,804B35E20,28335,80AAC8C50,16637.44,Yuan,16637.44,Yuan,Cheque,0
110265,803D88530,210277,80BCA7A40,77832.37,Yuan,77832.37,Yuan,Credit Card,0
110265,803D88530,210277,80BCA7A40,6068821.43,Yuan,6068821.43,Yuan,Cash,0
210858,804A20FE0,211860,80C19ED30,20963.07,Yuan,20963.07,Yuan,Cheque,0
210858,804A20FE0,211860,80C19ED30,5939.88,Yuan,5939.88,Yuan,Cash,0
15885,8033CA9C0,7080,80C19E870,851.56,Yuan,851.56,Yuan,Cheque,0
15885,8033CA9C0,7080,80C19E870,427.7,Yuan,427.7,Yuan,Credit Card,0
27,804E0FD70,10154,80C59C400,21.77,Yuan,21.77,Yuan,Cheque,0
27,804E0FD70,10154,80C59C400,55.73,Yuan,55.73,Yuan,Credit Card,0
27,804E0FD70,10154,80C59C400,71.92,Yuan,71.92,Yuan,ACH,0
10488,80C6AACB0,9534,80C6AAC60,1874.67,Yuan,1874.67,Yuan,ACH,0
110134,8048391A0,110198,80E3F30F0,14404.74,Yuan,14404.74,Yuan,Cheque,0
110134,8048391A0,110198,80E3F30F0,21690.19,Yuan,21690.19,Yuan,Credit Card,0
212642,805366620,237643,80EDE3720,26184.01,Yuan,26184.01,Yuan,Cheque,0
212642,805366620,237643,80EDE3720,71226.99,Yuan,71226.99,Yuan,Cash,0
7082,80F1DE9E0,13255,80F1DEA30,8200.17,Yuan,8200.17,Yuan,ACH,0
9530,80F1DE940,13255,80F1DEA30,28377.1,Yuan,28377.1,Yuan,ACH,0
25281,809FED080,25281,809FED080,135245.55,Yuan,20193.14,US Dollar,ACH,0
25281,809FED080,113830,805510960,135245.55,Yuan,135245.55,Yuan,Cheque,0
25281,809FED080,25281,809FED080,60361.95,Yuan,9012.47,US Dollar,ACH,0
25281,809FED080,113830,805510960,60361.95,Yuan,60361.95,Yuan,Credit Card,0
9976,8054EEBC0,9735,80FA6D4E0,44819.85,Yuan,44819.85,Yuan,Cheque,0
9976,8054EEBC0,9735,80FA6D4E0,3259.39,Yuan,3259.39,Yuan,Credit Card,0
9976,8054EEBC0,9735,80FA6D4E0,3526.64,Yuan,3526.64,Yuan,ACH,0
9530,804E481A0,19172,80FA4FE40,642.25,Yuan,642.25,Yuan,Cheque,0
70,10042B6F0,215128,8107F3790,5623.23,Yuan,5623.23,Yuan,Cheque,0
70,10042B6F0,215128,8107F3790,1399.3,Yuan,1399.3,Yuan,Credit Card,0
110134,80FA2F730,14449,810824280,6625.41,Yuan,6625.41,Yuan,Cheque,0
110134,80FA2F730,14449,810824280,27711.21,Yuan,27711.21,Yuan,Credit Card,0
15885,804C94870,110265,810A5D8A0,4182.38,Yuan,4182.38,Yuan,Cheque,0
15885,804C94870,110265,810A5D8A0,9342.63,Yuan,9342.63,Yuan,ACH,0
9534,80408A5E0,113816,811781700,975.52,Yuan,975.52,Yuan,Cheque,0
9534,80408A5E0,113816,811781700,631.7,Yuan,631.7,Yuan,Credit Card,0
70,10042B6F0,111615,8122C6F70,2134.76,Yuan,2134.76,Yuan,Cheque,0
70,10042B6F0,111615,8122C6F70,6188.72,Yuan,6188.72,Yuan,Credit Card,0
13493,8054068D0,19104,8128B7B00,1057.71,Yuan,1057.71,Yuan,Cheque,0
14334,8054D34D0,9976,8128C7860,3910.98,Yuan,3910.98,Yuan,Cheque,0
14334,8054D34D0,9976,8128C7860,4471.78,Yuan,4471.78,Yuan,Credit Card,0
13712,80531B790,212655,812A85480,3309.19,Yuan,3309.19,Yuan,Cheque,0
13712,80531B790,212655,812A85480,5664.41,Yuan,5664.41,Yuan,Credit Card,0
10154,80543BF20,12678,8135C8990,908.59,Yuan,908.59,Yuan,Cheque,0
8997,804BC00F0,19931,814378840,1588712.96,Yuan,1588712.96,Yuan,Cheque,0
10073,8049FD2B0,242449,8146451A0,1043.74,Yuan,1043.74,Yuan,Cheque,0
10073,8049FD2B0,242449,8146451A0,387.39,Yuan,387.39,Yuan,Cash,0
10073,8049FD2B0,242449,8146451A0,251.85,Yuan,251.85,Yuan,ACH,0
10073,8049FD2B0,242449,8146451A0,87.22,Yuan,87.22,Yuan,Wire,0
70,10042B6F0,12101,814BE3160,16640.29,Yuan,16640.29,Yuan,Cheque,0
29900,803D88EA0,14463,814E45C50,116505.46,Yuan,116505.46,Yuan,Cheque,0
12307,8048D31F0,14334,814E3C800,202.64,Yuan,202.64,Yuan,Cheque,0
12307,8048D31F0,14334,814E3C800,949.76,Yuan,949.76,Yuan,Credit Card,0
26,804C8EED0,113732,815234770,169.94,Yuan,169.94,Yuan,Cheque,0
26,804C8EED0,113732,815234770,715.61,Yuan,715.61,Yuan,Credit Card,0
70,10042B6F0,114188,815B83270,7468.85,Yuan,7468.85,Yuan,Cheque,0
27,803513100,225418,815BBAF20,22813.35,Yuan,22813.35,Yuan,Cheque,0
27,803513100,225418,815BBAF20,9082.87,Yuan,9082.87,Yuan,Cash,0
12,804197740,236807,815BD9780,2257.16,Yuan,2257.16,Yuan,Cheque,0
12,804197740,236807,815BD9780,27932.81,Yuan,27932.81,Yuan,Credit Card,0
70,10042B6F0,13482,81603C8B0,142.3,Yuan,142.3,Yuan,Cheque,0
70,10042B6F0,13482,81603C8B0,20.97,Yuan,20.97,Yuan,Credit Card,0
70,10042B6F0,13482,81603C8B0,25.19,Yuan,25.19,Yuan,Cash,0
210824,8048389A0,14334,817843970,1893.06,Yuan,1893.06,Yuan,Cheque,0
210824,8048389A0,14334,817843970,1783.37,Yuan,1783.37,Yuan,Credit Card,0
113579,80BB49D00,12066,8199E26E0,91695.26,Yuan,91695.26,Yuan,Cheque,0
12,8036CCF30,211738,81A007A00,1291.32,Yuan,1291.32,Yuan,Cheque,0
12,8036CCF30,211738,81A007A00,1313.66,Yuan,1313.66,Yuan,Credit Card,0
27,804B7DFA0,14463,81A2AD850,1417.37,Yuan,1417.37,Yuan,Cheque,0
